Name,Category,Density,ElasticModulus,DampingRatio,Thickness,PoissonRatio
Gypsum 800kg/m3 12.5mm,Gypsum,800,2.68E+09,0.008,0.0125,0.3
Gypsum 1024kg/m3 15mm,Gypsum,1024,5.70E+09,0.008,0.015,0.3
Gypsum 800kg/m3 15mm,Gypsum,800,2.68E+09,0.008,0.015,0.3
Gypsum 864kg/m3 12.5mm,Gypsum,864,2.84E+09,0.008,0.0125,0.3
Gypsum 853kg/m3 15mm,Gypsum,853,2.81E+09,0.008,0.015,0.3
Gypsum 1067kg/m3 15mm,Gypsum,1067,3.15E+09,0.008,0.015,0.3
Gypsum 808kg/m3 25mm,Gypsum,808,2.85E+09,0.008,0.025,0.3
Gypsum 887kg/m3 12.5mm,Gypsum,887,2.89E+09,0.008,0.0125,0.3
Gypsum 887kg/m3 15mm,Gypsum,887,2.89E+09,0.008,0.015,0.3
Gypsum 823kg/m3 13mm,Gypsum,823,2.73E+09,0.008,0.013,0.3
Gypsum 819kg/m3 16mm,Gypsum,819,2.73E+09,0.008,0.016,0.3
Other 1080kg/m3 6mm,Other,1080,3.80E+09,0.01,0.006,0.3
Gypsum 840kg/m3 9mm,Gypsum,840,2.78E+09,0.008,0.009,0.3
Other 1080kg/m3 9mm,Other,1080,3.80E+09,0.01,0.009,0.3
Other 1080kg/m3 12mm,Other,1080,3.80E+09,0.01,0.012,0.3
Gypsum 848kg/m3 12.5mm,Gypsum,848,2.78E+09,0.008,0.0125,0.3
Other 1200kg/m3 6mm,Other,1200,4.00E+09,0.01,0.006,0.3
Other 1200kg/m3 9mm,Other,1200,4.00E+09,0.01,0.009,0.3
Other 1200kg/m3 12mm,Other,1200,4.00E+09,0.01,0.012,0.3
Other 1360kg/m3 9mm,Other,1360,8.33E+09,0.01,0.009,0.3
Other 1360kg/m3 12mm,Other,1360,8.33E+09,0.01,0.012,0.3
Other 1360kg/m3 25mm,Other,1360,8.33E+09,0.01,0.025,0.3
Other 1630kg/m3 9mm,Other,1630,1.21E+10,0.01,0.009,0.3
Other 1630kg/m3 12mm,Other,1630,1.21E+10,0.01,0.012,0.3
Other 1630kg/m3 18mm,Other,1630,1.21E+10,0.01,0.018,0.3
Masonry 2340kg/m3 150mm,Masonry,2340,1.10E+10,0.006,0.15,0.3
Masonry 2000kg/m3 50mm,Masonry,2000,1.50E+10,0.006,0.05,0.3
Masonry 2300kg/m3 50mm,Masonry,2300,2.60E+10,0.006,0.05,0.3
Other 880kg/m3 50mm,Other,880,2.30E+09,0.01,0.05,0.3
Other 853kg/m3 75mm,Other,853,2.18E+09,0.01,0.075,0.3
Other 770kg/m3 100mm,Other,770,1.85E+09,0.01,0.1,0.3
Other 792kg/m3 125mm,Other,792,1.94E+09,0.01,0.125,0.3
Other 733kg/m3 150mm,Other,733,1.71E+09,0.01,0.15,0.3
Gypsum 840kg/m3 15mm,Gypsum,840,2.78E+09,0.008,0.015,0.3
Masonry 1300kg/m3 50mm,Masonry,1300,3.80E+09,0.015,0.05,0.3
Masonry 1500kg/m3 10mm,Masonry,1500,3.00E+09,0.01,0.01,0.3
Gypsum 817kg/m3 18mm,Gypsum,817,2.71E+09,0.008,0.018,0.3
Masonry 2430kg/m3 200mm,Masonry,2430,1.10E+10,0.006,0.2,0.3
Masonry 2430kg/m3 140mm,Masonry,2430,1.10E+10,0.006,0.14,0.3
Masonry 2430kg/m3 150mm,Masonry,2430,1.10E+10,0.006,0.15,0.3
Masonry 2430kg/m3 300mm,Masonry,2430,1.10E+10,0.006,0.3,0.3
Masonry 1250kg/m3 150mm,Masonry,1250,5.14E+09,0.015,0.15,0.3
Masonry 2350kg/m3 30mm,Masonry,2350,2.95E+10,0.005,0.03,0.3
Masonry 1880kg/m3 140mm,Masonry,1880,7.77E+09,0.006,0.14,0.3
Masonry 1905kg/m3 190mm,Masonry,1905,8.08E+09,0.006,0.19,0.3
Masonry 1912kg/m3 240mm,Masonry,1912,8.17E+09,0.006,0.24,0.3
Masonry 1200kg/m3 140mm,Masonry,1200,3.76E+09,0.006,0.14,0.3
Masonry 1200kg/m3 190mm,Masonry,1200,3.76E+09,0.006,0.19,0.3
Masonry 1200kg/m3 240mm,Masonry,1200,3.76E+09,0.006,0.24,0.3
Masonry 760kg/m3 190mm,Masonry,760,1.80E+09,0.006,0.19,0.3
Masonry 900kg/m3 190mm,Masonry,900,2.37E+09,0.006,0.19,0.3
Masonry 1250kg/m3 190mm,Masonry,1250,4.06E+09,0.006,0.19,0.3
Masonry 1600kg/m3 140mm,Masonry,1600,5.98E+09,0.006,0.14,0.3
Masonry 2000kg/m3 50mm,Masonry,2000,1.50E+10,0.38,0.05,0.3
Masonry 1800kg/m3 140mm,Masonry,1800,7.29E+09,0.006,0.14,0.3
Gypsum 812kg/m3 25mm,Gypsum,812,2.71E+09,0.008,0.025,0.3
Gypsum 758kg/m3 9.5mm,Gypsum,758,2.56E+09,0.008,0.0095,0.3
Gypsum 752kg/m3 12.5mm,Gypsum,752,2.56E+09,0.008,0.0125,0.3
Gypsum 753kg/m3 15mm,Gypsum,753,2.56E+09,0.008,0.015,0.3
Gypsum 1150kg/m3 70mm,Gypsum,1150,5.00E+09,0.001,0.07,0.3
Gypsum 1150kg/m3 70mm,Gypsum,1150,5.00E+09,0.008,0.07,0.3
Gypsum 1040kg/m3 50mm,Gypsum,1040,5.37E+09,0.003,0.05,0.3
Gypsum 743kg/m3 70mm,Gypsum,743,1.96E+09,0.003,0.07,0.3
Gypsum 1200kg/m3 70mm,Gypsum,1200,8.24E+09,0.003,0.07,0.3
Gypsum 1000kg/m3 100mm,Gypsum,1000,8.69E+09,0.002,0.1,0.3
Masonry 1630kg/m3 150mm,Masonry,1630,8.95E+09,0.01,0.15,0.3
Masonry 2100kg/m3 110mm,Masonry,2100,2.01E+10,0.015,0.11,0.3
Masonry 2000kg/m3 140mm,Masonry,2000,6.33E+09,0.015,0.14,0.3
Masonry 1800kg/m3 140mm,Masonry,1800,3.37E+09,0.015,0.14,0.3
Masonry 1529kg/m3 200mm,Masonry,1529,7.40E+09,0.01,0.2,0.3
Masonry 1345kg/m3 250mm,Masonry,1345,5.05E+09,0.01,0.25,0.3
Masonry 1900kg/m3 140mm,Masonry,1900,1.60E+10,0.01,0.14,0.3
Masonry 1600kg/m3 110mm,Masonry,1600,8.90E+09,0.003,0.11,0.3
Masonry 2340kg/m3 160mm,Masonry,2340,3.00E+10,0.04,0.16,0.2
Masonry 1600kg/m3 160mm,Masonry,1600,2.00E+10,0.02,0.16,0.3
Masonry 1580kg/m3 200mm,Masonry,1580,1.20E+10,0.04,0.2,0.3
Masonry 1280kg/m3 215mm,Masonry,1280,4.50E+09,0.07,0.215,0.3
Masonry 2150kg/m3 165mm,Masonry,2150,1.20E+10,0.05,0.165,0.3
Masonry 1760kg/m3 200mm,Masonry,1760,8.00E+09,0.08,0.2,0.3
Masonry 2050kg/m3 215mm,Masonry,2050,8.00E+09,0.08,0.215,0.3
Masonry 900kg/m3 50mm,Masonry,900,5.50E+09,0.003,0.05,0.3
Masonry 780kg/m3 74mm,Masonry,780,3.00E+09,0.003,0.074,0.3
Masonry 660kg/m3 104mm,Masonry,660,2.50E+09,0.003,0.104,0.3
Masonry 2200kg/m3 200mm,Masonry,2200,3.17E+10,0.005,0.2,0.3
Masonry 1800kg/m3 100mm,Masonry,1800,1.13E+10,0.01,0.1,0.3
Masonry 600kg/m3 100mm,Masonry,600,2.17E+09,0.013,0.1,0.3
Masonry 1400kg/m3 100mm,Masonry,1400,6.78E+09,0.01,0.1,0.3
Masonry 2000kg/m3 100mm,Masonry,2000,2.05E+10,0.01,0.1,0.3
Masonry 1750kg/m3 140mm,Masonry,1750,1.28E+10,0.01,0.14,0.3
Gypsum 860kg/m3 12.5mm,Gypsum,860,1.90E+09,0.14,0.0125,0.3
Gypsum 680kg/m3 12.5mm,Gypsum,680,2.23E+09,0.013,0.0125,0.3
Wood 760kg/m3 16mm,Wood,760,3.67E+09,0.01,0.016,0.3
Masonry 950kg/m3 100mm,Masonry,950,1.00E+10,0.03,0.1,0.3
Masonry 850kg/m3 140mm,Masonry,850,1.00E+10,0.03,0.14,0.3
Masonry 850kg/m3 190mm,Masonry,850,1.00E+10,0.03,0.19,0.3
Masonry 1170kg/m3 150mm,Masonry,1170,6.00E+09,0.005,0.15,0.3
Masonry 1108kg/m3 140mm,Masonry,1108,1.00E+10,0.03,0.14,0.3
Masonry 680kg/m3 100mm,Masonry,680,1.64E+09,0.006,0.1,0.3
Masonry 550kg/m3 150mm,Masonry,550,1.24E+09,0.02,0.15,0.3
Masonry 550kg/m3 200mm,Masonry,550,1.24E+09,0.027,0.2,0.3
Masonry 550kg/m3 215mm,Masonry,550,1.24E+09,0.03,0.215,0.3
Masonry 500kg/m3 250mm,Masonry,500,1.24E+09,0.02,0.25,0.3
Masonry 550kg/m3 267mm,Masonry,550,1.24E+09,0.02,0.267,0.3
Masonry 445kg/m3 317mm,Masonry,445,9.40E+08,0.055,0.317,0.3
Masonry 440kg/m3 382mm,Masonry,440,6.40E+08,0.06,0.382,0.3
Masonry 1900kg/m3 10mm,Masonry,1900,2.60E+10,0.015,0.01,0.3
Masonry 1600kg/m3 15mm,Masonry,1600,1.40E+08,0.01,0.015,0.3
Masonry 2000kg/m3 114mm,Masonry,2000,7.50E+09,0.01,0.114,0.3
Masonry 2000kg/m3 130mm,Masonry,2000,1.10E+10,0.02,0.13,0.3
Masonry 1600kg/m3 122mm,Masonry,1600,8.90E+09,0.003,0.122,0.3
Masonry 576kg/m3 100mm,Masonry,576,2.48E+09,0.015,0.1,0.3
Masonry 1880kg/m3 140mm,Masonry,1880,1.44E+10,0.006,0.14,0.3
Masonry 1905kg/m3 190mm,Masonry,1905,1.50E+10,0.006,0.19,0.3
Masonry 1912kg/m3 240mm,Masonry,1912,1.52E+10,0.006,0.24,0.3
Masonry 886kg/m3 140mm,Masonry,886,1.51E+09,0.006,0.14,0.3
Masonry 838kg/m3 190mm,Masonry,838,1.28E+09,0.006,0.19,0.3
Masonry 730kg/m3 240mm,Masonry,730,8.45E+08,0.006,0.24,0.3
ProfiledMetal 7800kg/m3 55mm,ProfiledMetal,7800,1.10E+10,0.006,0.055,0.3
Masonry 2910kg/m3 7mm,Masonry,2910,6.82E+10,0.01,0.007,0.3
Masonry 2340kg/m3 150mm,Masonry,2340,1.50E+10,0.006,0.15,0.3
Masonry 1300kg/m3 100mm,Masonry,1300,3.70E+09,0.015,0.1,0.3
Masonry 1055kg/m3 140mm,Masonry,1055,2.55E+09,0.02,0.14,0.3
Masonry 936kg/m3 140mm,Masonry,936,1.78E+09,0.02,0.14,0.3
Masonry 690kg/m3 100mm,Masonry,690,1.64E+09,0.02,0.1,0.3
Masonry 400kg/m3 200mm,Masonry,400,4.92E+08,0.015,0.2,0.3
Masonry 450kg/m3 200mm,Masonry,450,9.00E+08,0.015,0.2,0.3
Masonry 500kg/m3 200mm,Masonry,500,1.30E+09,0.015,0.2,0.3
Masonry 600kg/m3 200mm,Masonry,600,1.80E+09,0.015,0.2,0.3
Masonry 650kg/m3 200mm,Masonry,650,3.80E+09,0.02,0.2,0.3
Masonry 900kg/m3 200mm,Masonry,900,3.80E+09,0.02,0.2,0.3
Masonry 1880kg/m3 100mm,Masonry,1880,8.31E+09,0.006,0.1,0.3
Masonry 1930kg/m3 70mm,Masonry,1930,1.56E+10,0.003,0.07,0.3
Masonry 2392kg/m3 14mm,Masonry,2392,1.18E+10,0.01,0.014,0.3
Masonry 600kg/m3 100mm,Masonry,600,2.00E+09,0.01,0.1,0.3
Masonry 1070kg/m3 90mm,Masonry,1070,6.00E+09,0.003,0.09,0.3
Masonry 1905kg/m3 215mm,Masonry,1905,8.65E+09,0.006,0.215,0.3
Masonry 1220kg/m3 140mm,Masonry,1220,3.77E+09,0.006,0.14,0.3
Masonry 560kg/m3 50mm,Masonry,560,1.17E+09,0.02,0.05,0.3
Masonry 440kg/m3 75mm,Masonry,440,8.00E+08,0.02,0.075,0.3
Masonry 560kg/m3 75mm,Masonry,560,1.17E+09,0.02,0.075,0.3
Masonry 7800kg/m3 0.6mm,Masonry,7800,2.10E+11,0.09,0.0006,0.3
Masonry 520kg/m3 75mm,Masonry,520,8.00E+08,0.04,0.075,0.3
Masonry 700kg/m3 75mm,Masonry,700,4.45E+09,0.016,0.075,0.3
Masonry 600kg/m3 75mm,Masonry,600,1.08E+09,0.02,0.075,0.3
Masonry 600kg/m3 100mm,Masonry,600,1.08E+09,0.02,0.1,0.3
Masonry 650kg/m3 100mm,Masonry,650,1.37E+09,0.02,0.1,0.3
Masonry 1220kg/m3 215mm,Masonry,1220,3.77E+09,0.006,0.215,0.3
Masonry 800kg/m3 100mm,Masonry,800,3.00E+09,0.01,0.1,0.3
Other 2910kg/m3 7mm,Other,2910,6.82E+10,0.01,0.007,0.3
Other 2392kg/m3 14mm,Other,2392,1.18E+10,0.01,0.014,0.3
Masonry 1725kg/m3 175mm,Masonry,1725,8.00E+09,0.003,0.175,0.3
Glazing 2430kg/m3 3.1mm,Glazing,2430,4.60E+10,0.02,0.0031,0.3
Glazing 2430kg/m3 3.1mm,Glazing,2430,4.60E+10,0.022,0.0031,0.3
Glazing 2430kg/m3 3mm,Glazing,2430,4.60E+10,0.02,0.003,0.3
Glazing 1200kg/m3 6mm,Glazing,1200,2.20E+09,0.02,0.006,0.38
Glazing 2500kg/m3 4mm,Glazing,2500,7.00E+10,0.01,0.004,0.2
Glazing 1190kg/m3 8mm,Glazing,1190,3.20E+09,0.03,0.008,0.3
Glazing 225kg/m3 16mm,Glazing,225,2.13E+08,0.02,0.016,0.3
Glazing 225kg/m3 16mm,Glazing,225,2.13E+08,0.07,0.016,0.3
Glazing 2430kg/m3 5mm,Glazing,2430,4.60E+10,0.02,0.005,0.3
Glazing 1190kg/m3 6mm,Glazing,1190,3.20E+09,0.018,0.006,0.3
Glazing 2430kg/m3 6mm,Glazing,2430,5.54E+10,0.02,0.006,0.3
Glazing 2430kg/m3 6mm,Glazing,2430,4.66E+10,0.033,0.006,0.3
Wood 600kg/m3 10mm,Wood,600,4.00E+09,0.03,0.01,0.3
Wood 675kg/m3 19mm,Wood,675,2.93E+09,0.03,0.019,0.3
Wood 605kg/m3 10mm,Wood,605,2.88E+09,0.01,0.01,0.3
Gypsum 641kg/m3 9.5mm,Gypsum,641,1.64E+09,0.008,0.0095,0.3
Wood 780kg/m3 12mm,Wood,780,6.16E+09,0.01,0.012,0.3
Wood 580kg/m3 15mm,Wood,580,2.53E+09,0.01,0.015,0.3
Wood 630kg/m3 18mm,Wood,630,3.25E+09,0.01,0.018,0.3
Wood 630kg/m3 24mm,Wood,630,3.25E+09,0.01,0.024,0.3
Wood 560kg/m3 36mm,Wood,560,2.28E+09,0.01,0.036,0.3
Wood 685kg/m3 20mm,Wood,685,3.00E+09,0.01,0.02,0.3
Wood 556kg/m3 9mm,Wood,556,4.28E+09,0.01,0.009,0.3
Wood 550kg/m3 12mm,Wood,550,4.14E+09,0.01,0.012,0.3
Wood 553kg/m3 15mm,Wood,553,4.21E+09,0.01,0.015,0.3
Wood 541kg/m3 17mm,Wood,541,3.94E+09,0.01,0.017,0.3
Wood 700kg/m3 25mm,Wood,700,3.27E+09,0.03,0.025,0.3
Wood 540kg/m3 25mm,Wood,540,3.92E+09,0.01,0.025,0.3
Wood 562kg/m3 15.1mm,Wood,562,3.00E+09,0.018,0.0151,0.3
Wood 710kg/m3 20mm,Wood,710,3.42E+09,0.03,0.02,0.3
Wood 700kg/m3 18mm,Wood,700,3.27E+09,0.03,0.018,0.3
Wood 679kg/m3 9mm,Wood,679,2.75E+09,0.01,0.009,0.3
Wood 663kg/m3 12mm,Wood,663,2.45E+09,0.01,0.012,0.3
Wood 703kg/m3 16mm,Wood,703,4.00E+09,0.015,0.016,0.3
Wood 458kg/m3 90mm,Wood,458,2.00E+09,0.02,0.09,0.3
Wood 455kg/m3 140mm,Wood,455,1.60E+09,0.015,0.14,0.3
Wood 450kg/m3 60mm,Wood,450,4.81E+08,0.02,0.06,0.1
Wood 450kg/m3 80mm,Wood,450,1.63E+09,0.02,0.08,0.1
Wood 450kg/m3 90mm,Wood,450,4.81E+08,0.02,0.09,0.1
Wood 450kg/m3 100mm,Wood,450,8.32E+08,0.02,0.1,0.1
Wood 450kg/m3 100mm,Wood,450,2.70E+09,0.02,0.1,0.1
Wood 450kg/m3 120mm,Wood,450,4.81E+08,0.02,0.12,0.1
Wood 450kg/m3 120mm,Wood,450,1.57E+09,0.02,0.12,0.1
Wood 450kg/m3 140mm,Wood,450,9.85E+08,0.02,0.14,0.1
Wood 450kg/m3 160mm,Wood,450,1.42E+09,0.02,0.16,0.1
Wood 450kg/m3 160mm,Wood,450,2.03E+08,0.02,0.16,0.1
Wood 450kg/m3 180mm,Wood,450,2.09E+09,0.02,0.18,0.1
Wood 450kg/m3 180mm,Wood,450,2.73E+09,0.02,0.18,0.1
Wood 450kg/m3 200mm,Wood,450,2.70E+09,0.02,0.2,0.1
Wood 450kg/m3 200mm,Wood,450,5.93E+09,0.02,0.2,0.1
Wood 450kg/m3 220mm,Wood,450,1.14E+09,0.02,0.22,0.1
Wood 450kg/m3 240mm,Wood,450,4.60E+09,0.02,0.24,0.1
Wood 450kg/m3 260mm,Wood,450,6.92E+08,0.02,0.26,0.1
Wood 450kg/m3 280mm,Wood,450,9.85E+08,0.02,0.28,0.1
Wood 450kg/m3 300mm,Wood,450,1.08E+09,0.02,0.3,0.1
Wood 320kg/m3 12.5mm,Wood,320,5.00E+08,0.02,0.0125,0.3
Wood 385kg/m3 25mm,Wood,385,8.00E+09,0.035,0.025,0.3
Wood 770kg/m3 25mm,Wood,770,1.20E+10,0.035,0.025,0.3
Wood 610kg/m3 32mm,Wood,610,1.49E+10,0.035,0.032,0.3
Wood 320kg/m3 13mm,Wood,320,5.00E+08,0.02,0.013,0.3
Wood 960kg/m3 5mm,Wood,960,8.29E+08,0.01,0.005,0.3
Wood 400kg/m3 50mm,Wood,400,9.00E+08,0.05,0.05,0.3
Wood 400kg/m3 58mm,Wood,400,9.00E+08,0.05,0.058,0.3
Wood 490kg/m3 44mm,Wood,490,1.00E+10,0.06,0.044,0.3
Wood 200kg/m3 10mm,Wood,200,3.20E+07,0.01,0.01,0.3
FibreCement 1342kg/m3 6mm,FibreCement,1342,7.80E+09,0.02,0.006,0.3
FibreCement 1342kg/m3 6mm,FibreCement,1342,7.63E+09,0.02,0.006,0.3
Wood 500kg/m3 17.5mm,Wood,500,3.00E+09,0.008,0.0175,0.3
Wood 120kg/m3 10mm,Wood,120,3.20E+07,0.01,0.01,0.3
Wood 600kg/m3 22mm,Wood,600,2.40E+09,0.02,0.022,0.3
Wood 750kg/m3 18mm,Wood,750,2.70E+09,0.03,0.018,0.3
Wood 540kg/m3 18mm,Wood,540,2.00E+09,0.01,0.018,0.3
Wood 590kg/m3 18mm,Wood,590,3.50E+09,0.02,0.018,0.3
Wood 640kg/m3 18mm,Wood,640,4.80E+09,0.02,0.018,0.3
Wood 480kg/m3 94mm,Wood,480,2.40E+09,0.03,0.094,0.3
Wood 480kg/m3 146mm,Wood,480,9.00E+08,0.03,0.146,0.3
Wood 520kg/m3 23mm,Wood,520,5.00E+09,0.03,0.023,0.3
Wood 740kg/m3 22mm,Wood,740,1.33E+10,0.035,0.022,0.3
Wood 600kg/m3 22mm,Wood,600,1.25E+10,0.035,0.022,0.3
Wood 450kg/m3 22mm,Wood,450,4.50E+09,0.035,0.022,0.3
Wood 640kg/m3 22mm,Wood,640,1.33E+10,0.035,0.022,0.3
Wood 500kg/m3 22mm,Wood,500,1.20E+10,0.035,0.022,0.3
Wood 210kg/m3 16mm,Wood,210,1.05E+08,0.03,0.016,0.3
Wood 1460kg/m3 17mm,Wood,1460,9.50E+08,0.04,0.017,0.3
FibreCement 1342kg/m3 7.5mm,FibreCement,1342,7.80E+09,0.02,0.0075,0.3
FibreCement 1380kg/m3 9mm,FibreCement,1380,8.36E+09,0.018,0.009,0.3
FibreCement 1180kg/m3 9mm,FibreCement,1180,5.67E+09,0.02,0.009,0.3
FibreCement 1150kg/m3 14mm,FibreCement,1150,5.67E+09,0.02,0.014,0.3
FibreCement 1380kg/m3 6mm,FibreCement,1380,8.36E+09,0.02,0.006,0.3
FibreCement 1622kg/m3 4.5mm,FibreCement,1622,1.23E+10,0.02,0.0045,0.3
FibreCement 1347kg/m3 7.5mm,FibreCement,1347,7.72E+09,0.02,0.0075,0.3
FibreCement 1360kg/m3 9mm,FibreCement,1360,7.43E+09,0.02,0.009,0.3
FibreCement 1622kg/m3 18mm,FibreCement,1622,1.23E+10,0.018,0.018,0.3
FibreCement 950kg/m3 19mm,FibreCement,950,3.27E+09,0.01,0.019,0.3
FibreCement 1380kg/m3 7.5mm,FibreCement,1380,8.36E+09,0.015,0.0075,0.3
FibreCement 1150kg/m3 16mm,FibreCement,1150,5.32E+09,0.015,0.016,0.3
FibreCement 1552kg/m3 9mm,FibreCement,1552,1.11E+10,0.018,0.009,0.3
FibreCement 1342kg/m3 5.5mm,FibreCement,1342,7.80E+09,0.018,0.0055,0.3
FibreCement 1342kg/m3 9mm,FibreCement,1342,7.80E+09,0.018,0.009,0.3
FibreCement 1342kg/m3 4.5mm,FibreCement,1342,7.80E+09,0.018,0.0045,0.3
FibreCement 1212kg/m3 16.5mm,FibreCement,1212,6.48E+09,0.01,0.0165,0.3
FibreCement 1150kg/m3 16mm,FibreCement,1150,5.22E+09,0.02,0.016,0.3
FibreCement 1347kg/m3 5.5mm,FibreCement,1347,7.72E+09,0.02,0.0055,0.3
FibreCement 1833kg/m3 18mm,FibreCement,1833,1.29E+10,0.018,0.018,0.3
FibreCement 1600kg/m3 9mm,FibreCement,1600,1.12E+10,0.018,0.009,0.3
FibreCement 1500kg/m3 6mm,FibreCement,1500,6.48E+09,0.01,0.006,0.3
Other 300kg/m3 19mm,Other,300,4.00E+07,0.03,0.019,0.3
FibreCement 1560kg/m3 6mm,FibreCement,1560,7.29E+09,0.01,0.006,0.3
FibreCement 950kg/m3 9mm,FibreCement,950,4.44E+09,0.01,0.009,0.3
FibreCement 1880kg/m3 9mm,FibreCement,1880,1.12E+10,0.01,0.009,0.3
FibreCement 2100kg/m3 9mm,FibreCement,2100,1.17E+10,0.01,0.009,0.3
Wood 1015kg/m3 9.5mm,Wood,1015,4.50E+09,0.02,0.0095,0.3
FibreCement 1100kg/m3 12mm,FibreCement,1100,7.53E+09,0.01,0.012,0.3
FibreCement 1900kg/m3 8mm,FibreCement,1900,1.49E+10,0.01,0.008,0.3
FibreCement 1180kg/m3 10mm,FibreCement,1180,8.51E+09,0.01,0.01,0.3
FibreCement 875kg/m3 20mm,FibreCement,875,3.91E+09,0.01,0.02,0.3
FibreCement 900kg/m3 6mm,FibreCement,900,4.21E+09,0.01,0.006,0.3
FibreCement 1105kg/m3 12mm,FibreCement,1105,5.91E+09,0.006,0.012,0.3
FibreCement 1300kg/m3 12mm,FibreCement,1300,6.98E+09,0.01,0.012,0.3
Other 290kg/m3 40mm,Other,290,2.33E+08,0.08,0.04,0.3
Other 238kg/m3 80mm,Other,238,1.75E+08,0.02,0.08,0.3
Other 7800kg/m3 0.6mm,Other,7800,2.10E+13,0.02,0.0006,0.3
Other 150kg/m3 20mm,Other,150,8.87E+08,0.025,0.02,0.3
Other 1087kg/m3 8mm,Other,1087,5.02E+09,0.01,0.008,0.3
Other 1300kg/m3 12mm,Other,1300,4.50E+09,0.01,0.012,0.3
Wood 1450kg/m3 10mm,Wood,1450,8.43E+09,0.01,0.01,0.3
FibreCement 1275kg/m3 18mm,FibreCement,1275,4.25E+09,0.01,0.018,0.3
Other 1650kg/m3 5mm,Other,1650,1.50E+10,0.01,0.005,0.3
Other 1350kg/m3 6mm,Other,1350,9.00E+09,0.01,0.006,0.3
InsulatedPanel 7800kg/m3 0.5mm,InsulatedPanel,7800,2.10E+11,0.01,0.0005,0.3
InsulatedPanel 7800kg/m3 0.5mm,InsulatedPanel,7800,2.10E+11,0.02,0.0005,0.3
InsulatedPanel 7800kg/m3 0.6mm,InsulatedPanel,7800,2.10E+11,0.01,0.0006,0.3
InsulatedPanel 7800kg/m3 0.7mm,InsulatedPanel,7800,2.10E+11,0.01,0.0007,0.3
InsulatedPanel 7800kg/m3 0.6mm,InsulatedPanel,7800,2.10E+11,0.02,0.0006,0.3
InsulatedPanel 640kg/m3 19.1mm,InsulatedPanel,640,1.46E+09,0.01,0.0191,0.3
InsulatedPanel 640kg/m3 12.7mm,InsulatedPanel,640,1.46E+09,0.01,0.0127,0.3
Other 7800kg/m3 0.6mm,Other,7800,2.10E+11,0.01,0.0006,0.3
Other 2900kg/m3 3mm,Other,2900,8.52E+10,0.01,0.003,0.3
Other 11000kg/m3 1mm,Other,11000,1.53E+10,0.05,0.001,0.3
Other 7850kg/m3 0.6mm,Other,7850,2.10E+11,0.01,0.0006,0.3
Other 2700kg/m3 3mm,Other,2700,6.20E+10,0.01,0.003,0.3
Other 11300kg/m3 1mm,Other,11300,1.50E+10,0.05,0.001,0.44
Other 8750kg/m3 1mm,Other,8750,1.10E+11,0.01,0.001,0.3
Other 8920kg/m3 1mm,Other,8920,1.28E+11,0.01,0.001,0.33
Other 7140kg/m3 1mm,Other,7140,9.00E+10,0.01,0.001,0.3
Other 2700kg/m3 3mm,Other,2700,7.22E+10,0.01,0.003,0.3
Other 8960kg/m3 1mm,Other,8960,1.40E+11,0.01,0.001,0.3
Other 7800kg/m3 1.6mm,Other,7800,2.10E+11,0.01,0.0016,0.3
Other 1566kg/m3 3mm,Other,1566,2.93E+10,0.012,0.003,0.3
Other 1375kg/m3 4mm,Other,1375,1.98E+10,0.012,0.004,0.3
Other 1183kg/m3 6mm,Other,1183,1.26E+10,0.012,0.006,0.3
Other 820kg/m3 6mm,Other,820,1.92E+10,0.015,0.006,0.3
Other 520kg/m3 10mm,Other,520,1.40E+10,0.04,0.01,0.3
Other 400kg/m3 20mm,Other,400,2.99E+10,0.08,0.02,0.3
Other 336kg/m3 25mm,Other,336,2.55E+10,0.1,0.025,0.3
Other 2000kg/m3 4mm,Other,2000,1.00E+07,0.01,0.004,0.3
Other 2000kg/m3 4mm,Other,2000,8.00E+06,0.03,0.004,0.3
Other 2250kg/m3 3mm,Other,2250,8.00E+06,0.03,0.003,0.3
Other 1725kg/m3 3mm,Other,1725,8.00E+06,0.03,0.003,0.3
Other 2500kg/m3 2mm,Other,2500,8.00E+06,0.03,0.002,0.3
Other 2600kg/m3 1.7mm,Other,2600,8.00E+06,0.03,0.0017,0.3
Other 1900kg/m3 1.8mm,Other,1900,8.00E+06,0.03,0.0018,0.3
Other 1900kg/m3 3.7mm,Other,1900,8.00E+06,0.03,0.0037,0.3
Other 1900kg/m3 5.3mm,Other,1900,8.00E+06,0.03,0.0053,0.3
Other 1318kg/m3 0.9mm,Other,1318,8.00E+06,0.03,0.0009,0.3
Other 1333kg/m3 4mm,Other,1333,8.00E+06,0.03,0.004,0.3
Other 2000kg/m3 1mm,Other,2000,8.00E+06,0.03,0.001,0.3
Other 2000kg/m3 2mm,Other,2000,8.00E+06,0.03,0.002,0.3
Other 1800kg/m3 2.5mm,Other,1800,8.00E+06,0.03,0.0025,0.3
Other 2000kg/m3 3mm,Other,2000,8.00E+06,0.03,0.003,0.3
Other 2000kg/m3 5mm,Other,2000,8.00E+06,0.03,0.005,0.3
Other 1921kg/m3 3.8mm,Other,1921,8.00E+06,0.03,0.0038,0.3
Other 1300kg/m3 3mm,Other,1300,8.00E+06,0.199,0.003,0.3
Other 166kg/m3 0.6mm,Other,166,1.20E+09,0.01,0.0006,0.3
Polymer 920kg/m3 4mm,Polymer,920,3.00E+07,0.02,0.004,0.3
