Name,Category,Density,ElasticModulus,DampingRatio,Thickness,PoissonRatio
Gypsum 850kg/m3 10mm,Gypsum,850,3.76E+09,0.01,0.01,0.3
Gypsum 854kg/m3 13mm,Gypsum,854,3.82E+09,0.01,0.013,0.3
Gypsum 785kg/m3 13mm,Gypsum,785,2.97E+09,0.01,0.013,0.3
Gypsum 775kg/m3 16mm,Gypsum,775,2.85E+09,0.01,0.016,0.3
Gypsum 540kg/m3 90mm,Gypsum,540,8.16E+08,0.02,0.09,0.3
Gypsum 920kg/m3 10mm,Gypsum,920,2.92E+09,0.01,0.01,0.3
Gypsum 1000kg/m3 13mm,Gypsum,1000,3.43E+09,0.01,0.013,0.3
Gypsum 954kg/m3 13mm,Gypsum,954,5.32E+09,0.01,0.013,0.3
Gypsum 815kg/m3 13mm,Gypsum,815,3.32E+09,0.01,0.013,0.3
Gypsum 723kg/m3 13mm,Gypsum,723,2.32E+09,0.01,0.013,0.3
Gypsum 900kg/m3 16mm,Gypsum,900,4.47E+09,0.01,0.016,0.3
Gypsum 1380kg/m3 4.5mm,Gypsum,1380,8.30E+09,0.02,0.0045,0.3
Gypsum 1430kg/m3 6mm,Gypsum,1430,9.24E+09,0.02,0.006,0.3
Gypsum 1440kg/m3 7.5mm,Gypsum,1440,9.43E+09,0.02,0.0075,0.3
Gypsum 1440kg/m3 9mm,Gypsum,1440,9.43E+09,0.02,0.009,0.3
Gypsum 1390kg/m3 6mm,Gypsum,1390,9.22E+09,0.02,0.006,0.3
Gypsum 1390kg/m3 9mm,Gypsum,1390,9.89E+09,0.02,0.009,0.3
Gypsum 1550kg/m3 6mm,Gypsum,1550,1.18E+10,0.02,0.006,0.3
Gypsum 1550kg/m3 9mm,Gypsum,1550,1.18E+10,0.02,0.009,0.3
Gypsum 1150kg/m3 14mm,Gypsum,1150,5.22E+09,0.02,0.014,0.3
Gypsum 1550kg/m3 5mm,Gypsum,1550,1.18E+10,0.02,0.005,0.3
Gypsum 1660kg/m3 9mm,Gypsum,1660,1.20E+10,0.01,0.009,0.3
Gypsum 1660kg/m3 12mm,Gypsum,1660,1.20E+10,0.01,0.012,0.3
Gypsum 1660kg/m3 15mm,Gypsum,1660,1.20E+10,0.01,0.015,0.3
Gypsum 1660kg/m3 18mm,Gypsum,1660,1.20E+10,0.01,0.018,0.3
Gypsum 1660kg/m3 24mm,Gypsum,1660,1.20E+10,0.01,0.024,0.3
Gypsum 815kg/m3 16mm,Gypsum,815,3.32E+09,0.01,0.016,0.3
Gypsum 885kg/m3 13mm,Gypsum,885,4.00E+09,0.01,0.013,0.3
Gypsum 954kg/m3 16mm,Gypsum,954,5.32E+09,0.01,0.016,0.3
Gypsum 670kg/m3 12.5mm,Gypsum,670,2.20E+09,0.015,0.0125,0.3
Gypsum 670kg/m3 15mm,Gypsum,670,2.20E+09,0.01,0.015,0.3
Gypsum 860kg/m3 12.5mm,Gypsum,860,3.39E+09,0.008,0.0125,0.3
Gypsum 895kg/m3 15mm,Gypsum,895,3.85E+09,0.01,0.015,0.3
Gypsum 1100kg/m3 12.5mm,Gypsum,1100,4.61E+09,0.006,0.0125,0.3
Gypsum 1025kg/m3 12.5mm,Gypsum,1025,7.80E+09,0.015,0.0125,0.3
Gypsum 1300kg/m3 19mm,Gypsum,1300,8.30E+09,0.01,0.019,0.3
Gypsum 640kg/m3 9.5mm,Gypsum,640,1.50E+09,0.009,0.0095,0.3
Gypsum 630kg/m3 12mm,Gypsum,630,1.20E+09,0.009,0.012,0.3
Gypsum 670kg/m3 12mm,Gypsum,670,1.25E+09,0.009,0.012,0.3
Gypsum 875kg/m3 12mm,Gypsum,875,1.35E+09,0.009,0.012,0.3
Gypsum 840kg/m3 15mm,Gypsum,840,1.10E+09,0.009,0.015,0.3
Gypsum 900kg/m3 12mm,Gypsum,900,1.35E+09,0.009,0.012,0.3
Gypsum 875kg/m3 25mm,Gypsum,875,1.00E+09,0.009,0.025,0.3
Gypsum 850kg/m3 18mm,Gypsum,850,1.15E+09,0.009,0.018,0.3
Gypsum 620kg/m3 10mm,Gypsum,620,1.67E+09,0.009,0.01,0.3
Gypsum 638kg/m3 13mm,Gypsum,638,1.76E+09,0.008,0.013,0.3
Gypsum 690kg/m3 10mm,Gypsum,690,2.03E+09,0.008,0.01,0.3
Gypsum 740kg/m3 10mm,Gypsum,740,2.28E+09,0.008,0.01,0.3
Gypsum 738kg/m3 13mm,Gypsum,738,2.28E+09,0.008,0.013,0.3
Gypsum 920kg/m3 10mm,Gypsum,920,3.20E+09,0.008,0.01,0.3
Gypsum 923kg/m3 13mm,Gypsum,923,3.20E+09,0.008,0.013,0.3
Gypsum 590kg/m3 10mm,Gypsum,590,3.16E+09,0.008,0.01,0.3
Gypsum 553kg/m3 13mm,Gypsum,553,3.16E+09,0.008,0.013,0.3
Gypsum 920kg/m3 10mm,Gypsum,920,3.16E+09,0.008,0.01,0.3
Gypsum 908kg/m3 13mm,Gypsum,908,3.16E+09,0.008,0.013,0.3
Gypsum 970kg/m3 10mm,Gypsum,970,3.16E+09,0.008,0.01,0.3
Gypsum 912kg/m3 16mm,Gypsum,912,3.16E+09,0.008,0.016,0.3
Gypsum 820kg/m3 25mm,Gypsum,820,2.69E+09,0.008,0.025,0.3
Gypsum 950kg/m3 10mm,Gypsum,950,3.52E+09,0.007,0.01,0.3
Gypsum 960kg/m3 10mm,Gypsum,960,3.52E+09,0.007,0.01,0.3
Gypsum 1038kg/m3 13mm,Gypsum,1038,3.52E+09,0.007,0.013,0.3
Gypsum 975kg/m3 16mm,Gypsum,975,3.52E+09,0.007,0.016,0.3
Gypsum 950kg/m3 12.7mm,Gypsum,950,3.52E+09,0.007,0.0127,0.3
Gypsum 950kg/m3 15.9mm,Gypsum,950,3.52E+09,0.007,0.0159,0.3
Gypsum 807kg/m3 13mm,Gypsum,807,2.63E+09,0.008,0.013,0.3
Gypsum 813kg/m3 16mm,Gypsum,813,2.63E+09,0.008,0.016,0.3
Gypsum 730kg/m3 10mm,Gypsum,730,2.46E+09,0.008,0.01,0.3
Gypsum 707kg/m3 13mm,Gypsum,707,2.23E+09,0.008,0.013,0.3
Gypsum 766kg/m3 15mm,Gypsum,766,2.86E+09,0.008,0.015,0.3
Gypsum 720kg/m3 13mm,Gypsum,720,2.18E+09,0.008,0.013,0.3
Gypsum 880kg/m3 10mm,Gypsum,880,3.00E+09,0.008,0.01,0.3
Gypsum 900kg/m3 13mm,Gypsum,900,3.10E+09,0.008,0.013,0.3
Gypsum 800kg/m3 10mm,Gypsum,800,3.24E+09,0.008,0.01,0.3
Gypsum 860kg/m3 16mm,Gypsum,860,2.90E+09,0.008,0.016,0.3
Gypsum 853kg/m3 15mm,Gypsum,853,3.95E+09,0.008,0.015,0.3
Gypsum 842kg/m3 9.5mm,Gypsum,842,3.80E+09,0.008,0.0095,0.3
Gypsum 777kg/m3 13mm,Gypsum,777,2.77E+09,0.008,0.013,0.3
Gypsum 777kg/m3 16mm,Gypsum,777,2.77E+09,0.01,0.016,0.3
Gypsum 1000kg/m3 10mm,Gypsum,1000,4.67E+09,0.008,0.01,0.3
Gypsum 710kg/m3 10mm,Gypsum,710,2.00E+09,0.009,0.01,0.3
Gypsum 710kg/m3 12.5mm,Gypsum,710,2.00E+09,0.009,0.0125,0.3
Gypsum 710kg/m3 15mm,Gypsum,710,2.00E+09,0.009,0.015,0.3
Masonry 2340kg/m3 152.4mm,Masonry,2340,1.10E+10,0.006,0.1524,0.3
Masonry 1300kg/m3 101.6mm,Masonry,1300,3.70E+09,0.015,0.1016,0.3
Masonry 1880kg/m3 140mm,Masonry,1880,8.31E+09,0.006,0.14,0.3
Masonry 2430kg/m3 120mm,Masonry,2430,1.10E+10,0.006,0.12,0.3
Masonry 1600kg/m3 70mm,Masonry,1600,8.90E+09,0.003,0.07,0.3
Glazing 2430kg/m3 6mm,Glazing,2430,5.22E+10,0.02,0.006,0.3
Glazing 2430kg/m3 3.2mm,Glazing,2430,4.60E+10,0.02,0.0032,0.3
Wood 660kg/m3 18mm,Wood,660,2.74E+09,0.03,0.018,0.3
Wood 560kg/m3 17.5mm,Wood,560,4.37E+09,0.01,0.0175,0.3
Wood 490kg/m3 25mm,Wood,490,4.95E+09,0.035,0.025,0.3
FibreCement 1444kg/m3 6mm,FibreCement,1444,5.78E+09,0.01,0.006,0.3
FibreCement 1105kg/m3 7mm,FibreCement,1105,5.91E+09,0.006,0.007,0.3
ProfiledMetal 7800kg/m3 0.6mm,ProfiledMetal,7800,2.10E+11,0.01,0.0006,0.3
Gypsum 640kg/m3 12.5mm,Gypsum,640,1.62E+09,0.01,0.0125,0.3
Gypsum 653kg/m3 15mm,Gypsum,653,1.14E+09,0.01,0.015,0.3
Gypsum 848kg/m3 12.5mm,Gypsum,848,3.77E+09,0.01,0.0125,0.3
Gypsum 840kg/m3 15mm,Gypsum,840,3.11E+09,0.01,0.015,0.3
Gypsum 784kg/m3 12.5mm,Gypsum,784,2.44E+09,0.01,0.0125,0.3
Gypsum 780kg/m3 15mm,Gypsum,780,2.19E+09,0.01,0.015,0.3
Gypsum 927kg/m3 15mm,Gypsum,927,1.99E+09,0.01,0.015,0.3
Gypsum 690kg/m3 12.5mm,Gypsum,690,2.01E+09,0.01,0.0125,0.3
Gypsum 811kg/m3 9.5mm,Gypsum,811,3.32E+09,0.01,0.0095,0.3
Gypsum 770kg/m3 12.5mm,Gypsum,770,2.82E+09,0.01,0.0125,0.3
