Name,Category,Density,AirFlowResistivity,Thickness,MaterialDensity,SolidElasticModulus,SolidPoissonRatio,DampingRatio
FiberGlass 12kg/m3 75mm 5000 Rayl/m,FiberGlass,12,5000,0.075,2530,69000000000,0.276,0.2
FiberGlass 13kg/m3 100mm 6000 Rayl/m,FiberGlass,13,6000,0.1,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 90mm 3000 Rayl/m,FiberGlass,9,3000,0.09,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 90mm 6700 Rayl/m,FiberGlass,12,6700,0.09,2530,69000000000,0.276,0.2
FiberGlass 16kg/m3 90mm 7000 Rayl/m,FiberGlass,16,7000,0.09,2530,69000000000,0.276,0.2
FiberGlass 21kg/m3 90mm 10300 Rayl/m,FiberGlass,21,10300,0.09,2530,69000000000,0.276,0.2
FiberGlass 28kg/m3 90mm 14900 Rayl/m,FiberGlass,28,14900,0.09,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 140mm 4500 Rayl/m,FiberGlass,11,4500,0.14,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 140mm 6000 Rayl/m,FiberGlass,14,6000,0.14,2530,69000000000,0.276,0.2
FiberGlass 22kg/m3 140mm 10900 Rayl/m,FiberGlass,22,10900,0.14,2530,69000000000,0.276,0.2
FiberGlass 8kg/m3 95mm 3000 Rayl/m,FiberGlass,8,3000,0.095,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 115mm 3700 Rayl/m,FiberGlass,9,3700,0.115,2530,69000000000,0.276,0.2
FiberGlass 8kg/m3 140mm 3000 Rayl/m,FiberGlass,8,3000,0.14,2530,69000000000,0.276,0.2
FiberGlass 8kg/m3 180mm 3000 Rayl/m,FiberGlass,8,3000,0.18,2530,69000000000,0.276,0.2
FiberGlass 8kg/m3 195mm 3000 Rayl/m,FiberGlass,8,3000,0.195,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 210mm 4500 Rayl/m,FiberGlass,12,4500,0.21,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 40mm 6000 Rayl/m,FiberGlass,14,6000,0.04,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 75mm 11600 Rayl/m,FiberGlass,11,11600,0.075,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 50mm 14500 Rayl/m,FiberGlass,14,14500,0.05,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 75mm 12400 Rayl/m,FiberGlass,14,12400,0.075,2530,69000000000,0.276,0.2
FiberGlass 8.1kg/m3 75mm 4055 Rayl/m,FiberGlass,8.1,4055,0.075,2530,69000000000,0.276,0.2
FiberGlass 17.4kg/m3 75mm 8500 Rayl/m,FiberGlass,17.4,8500,0.075,2530,69000000000,0.276,0.2
FiberGlass 9.4kg/m3 90mm 3887 Rayl/m,FiberGlass,9.4,3887,0.09,2530,69000000000,0.276,0.2
FiberGlass 20.1kg/m3 90mm 15900 Rayl/m,FiberGlass,20.1,15900,0.09,2530,69000000000,0.276,0.2
FiberGlass 10.8kg/m3 90mm 4438 Rayl/m,FiberGlass,10.8,4438,0.09,2530,69000000000,0.276,0.2
FiberGlass 14.5kg/m3 90mm 6816 Rayl/m,FiberGlass,14.5,6816,0.09,2530,69000000000,0.276,0.2
FiberGlass 27.2kg/m3 90mm 27800 Rayl/m,FiberGlass,27.2,27800,0.09,2530,69000000000,0.276,0.2
FiberGlass 9.3kg/m3 140mm 2013 Rayl/m,FiberGlass,9.3,2013,0.14,2530,69000000000,0.276,0.2
FiberGlass 10kg/m3 90mm 3887 Rayl/m,FiberGlass,10,3887,0.09,2530,69000000000,0.276,0.2
FiberGlass 8.8kg/m3 125mm 2605 Rayl/m,FiberGlass,8.8,2605,0.125,2530,69000000000,0.276,0.2
FiberGlass 8.7kg/m3 150mm 2385 Rayl/m,FiberGlass,8.7,2385,0.15,2530,69000000000,0.276,0.2
FiberGlass 7.4kg/m3 175mm 2280 Rayl/m,FiberGlass,7.4,2280,0.175,2530,69000000000,0.276,0.2
FiberGlass 7.4kg/m3 125mm 2230 Rayl/m,FiberGlass,7.4,2230,0.125,2530,69000000000,0.276,0.2
FiberGlass 7kg/m3 190mm 2144 Rayl/m,FiberGlass,7,2144,0.19,2530,69000000000,0.276,0.2
FiberGlass 7.8kg/m3 150mm 3445 Rayl/m,FiberGlass,7.8,3445,0.15,2530,69000000000,0.276,0.2
FiberGlass 7.8kg/m3 195mm 4970 Rayl/m,FiberGlass,7.8,4970,0.195,2530,69000000000,0.276,0.2
FiberGlass 29kg/m3 50mm 10087 Rayl/m,FiberGlass,29,10087,0.05,2530,69000000000,0.276,0.2
FiberGlass 10kg/m3 90mm 2415 Rayl/m,FiberGlass,10,2415,0.09,2530,69000000000,0.276,0.2
FiberGlass 7.4kg/m3 175mm 1429 Rayl/m,FiberGlass,7.4,1429,0.175,2530,69000000000,0.276,0.2
FiberGlass 11.4kg/m3 210mm 8720 Rayl/m,FiberGlass,11.4,8720,0.21,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 275mm 9500 Rayl/m,FiberGlass,9,9500,0.275,2530,69000000000,0.276,0.2
FiberGlass 29kg/m3 105mm 9199 Rayl/m,FiberGlass,29,9199,0.105,2530,69000000000,0.276,0.2
FiberGlass 10kg/m3 75mm 4000 Rayl/m,FiberGlass,10,4000,0.075,2530,69000000000,0.276,0.2
FiberGlass 10kg/m3 90mm 4000 Rayl/m,FiberGlass,10,4000,0.09,2530,69000000000,0.276,0.2
FiberGlass 10kg/m3 75mm 10000 Rayl/m,FiberGlass,10,10000,0.075,2530,69000000000,0.276,0.2
FiberGlass 10kg/m3 90mm 10000 Rayl/m,FiberGlass,10,10000,0.09,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 75mm 6000 Rayl/m,FiberGlass,12,6000,0.075,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 100mm 2500 Rayl/m,FiberGlass,12,2500,0.1,2530,69000000000,0.276,0.2
FiberGlass 12.6kg/m3 90mm 6267 Rayl/m,FiberGlass,12.6,6267,0.09,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 90mm 13978 Rayl/m,FiberGlass,24,13978,0.09,2530,69000000000,0.276,0.2
FiberGlass 34kg/m3 90mm 22678 Rayl/m,FiberGlass,34,22678,0.09,2530,69000000000,0.276,0.2
FiberGlass 7.8kg/m3 165mm 3188 Rayl/m,FiberGlass,7.8,3188,0.165,2530,69000000000,0.276,0.2
FiberGlass 13.33kg/m3 210mm 6638 Rayl/m,FiberGlass,13.33,6638,0.21,2530,69000000000,0.276,0.2
FiberGlass 13.1kg/m3 90mm 6633 Rayl/m,FiberGlass,13.1,6633,0.09,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 75mm 7920 Rayl/m,FiberGlass,32,7920,0.075,2530,69000000000,0.276,0.2
FiberGlass 42kg/m3 88mm 9932 Rayl/m,FiberGlass,42,9932,0.088,2530,69000000000,0.276,0.2
FiberGlass 7.1kg/m3 95mm 2847 Rayl/m,FiberGlass,7.1,2847,0.095,2530,69000000000,0.276,0.2
FiberGlass 7.8kg/m3 115mm 3226 Rayl/m,FiberGlass,7.8,3226,0.115,2530,69000000000,0.276,0.2
FiberGlass 7.3kg/m3 145mm 2954 Rayl/m,FiberGlass,7.3,2954,0.145,2530,69000000000,0.276,0.2
FiberGlass 8kg/m3 185mm 3337 Rayl/m,FiberGlass,8,3337,0.185,2530,69000000000,0.276,0.2
FiberGlass 7.3kg/m3 215mm 2954 Rayl/m,FiberGlass,7.3,2954,0.215,2530,69000000000,0.276,0.2
FiberGlass 12.6kg/m3 260mm 6105 Rayl/m,FiberGlass,12.6,6105,0.26,2530,69000000000,0.276,0.2
FiberGlass 9.8kg/m3 60mm 4371 Rayl/m,FiberGlass,9.8,4371,0.06,2530,69000000000,0.276,0.2
FiberGlass 11.25kg/m3 80mm 5251 Rayl/m,FiberGlass,11.25,5251,0.08,2530,69000000000,0.276,0.2
FiberGlass 10.1kg/m3 120mm 4550 Rayl/m,FiberGlass,10.1,4550,0.12,2530,69000000000,0.276,0.2
FiberGlass 10.8kg/m3 130mm 4974 Rayl/m,FiberGlass,10.8,4974,0.13,2530,69000000000,0.276,0.2
FiberGlass 10.8kg/m3 145mm 4974 Rayl/m,FiberGlass,10.8,4974,0.145,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 75mm 5840 Rayl/m,FiberGlass,14,5840,0.075,2530,69000000000,0.276,0.2
FiberGlass 18kg/m3 25mm 15300 Rayl/m,FiberGlass,18,15300,0.025,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 25mm 16200 Rayl/m,FiberGlass,24,16200,0.025,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 25mm 18200 Rayl/m,FiberGlass,32,18200,0.025,2530,69000000000,0.276,0.2
FiberGlass 48kg/m3 50mm 31500 Rayl/m,FiberGlass,48,31500,0.05,2530,69000000000,0.276,0.2
FiberGlass 130kg/m3 25mm 55600 Rayl/m,FiberGlass,130,55600,0.025,2530,69000000000,0.276,0.2
FiberGlass 10kg/m3 60mm 3800 Rayl/m,FiberGlass,10,3800,0.06,2530,69000000000,0.276,0.2
FiberGlass 15kg/m3 100mm 5900 Rayl/m,FiberGlass,15,5900,0.1,2530,69000000000,0.276,0.2
FiberGlass 16kg/m3 145mm 6400 Rayl/m,FiberGlass,16,6400,0.145,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 65mm 5410 Rayl/m,FiberGlass,11,5410,0.065,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 90mm 4730 Rayl/m,FiberGlass,11,4730,0.09,2530,69000000000,0.276,0.2
FiberGlass 21kg/m3 70mm 10220 Rayl/m,FiberGlass,21,10220,0.07,2530,69000000000,0.276,0.2
FiberGlass 18kg/m3 90mm 13560 Rayl/m,FiberGlass,18,13560,0.09,2530,69000000000,0.276,0.2
FiberGlass 10kg/m3 130mm 2470 Rayl/m,FiberGlass,10,2470,0.13,2530,69000000000,0.276,0.2
FiberGlass 8kg/m3 155mm 2850 Rayl/m,FiberGlass,8,2850,0.155,2530,69000000000,0.276,0.2
FiberGlass 9kg/m3 175mm 2700 Rayl/m,FiberGlass,9,2700,0.175,2530,69000000000,0.276,0.2
FiberGlass 8kg/m3 195mm 3160 Rayl/m,FiberGlass,8,3160,0.195,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 215mm 4500 Rayl/m,FiberGlass,12,4500,0.215,2530,69000000000,0.276,0.2
FiberGlass 13kg/m3 250mm 4460 Rayl/m,FiberGlass,13,4460,0.25,2530,69000000000,0.276,0.2
FiberGlass 26kg/m3 60mm 10480 Rayl/m,FiberGlass,26,10480,0.06,2530,69000000000,0.276,0.2
FiberGlass 27kg/m3 70mm 12860 Rayl/m,FiberGlass,27,12860,0.07,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 90mm 11140 Rayl/m,FiberGlass,24,11140,0.09,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 50mm 5960 Rayl/m,FiberGlass,14,5960,0.05,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 70mm 5970 Rayl/m,FiberGlass,14,5970,0.07,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 90mm 7770 Rayl/m,FiberGlass,14,7770,0.09,2530,69000000000,0.276,0.2
FiberGlass 26kg/m3 90mm 16001 Rayl/m,FiberGlass,26,16001,0.09,2530,69000000000,0.276,0.2
FiberGlass 26kg/m3 110mm 12760 Rayl/m,FiberGlass,26,12760,0.11,2530,69000000000,0.276,0.2
FiberGlass 13kg/m3 50mm 4920 Rayl/m,FiberGlass,13,4920,0.05,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 75mm 4050 Rayl/m,FiberGlass,11,4050,0.075,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 90mm 3610 Rayl/m,FiberGlass,11,3610,0.09,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 50mm 4040 Rayl/m,FiberGlass,14,4040,0.05,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 75mm 5960 Rayl/m,FiberGlass,14,5960,0.075,2530,69000000000,0.276,0.2
FiberGlass 14kg/m3 90mm 5090 Rayl/m,FiberGlass,14,5090,0.09,2530,69000000000,0.276,0.2
FiberGlass 22kg/m3 25mm 9040 Rayl/m,FiberGlass,22,9040,0.025,2530,69000000000,0.276,0.2
FiberGlass 23kg/m3 38mm 10690 Rayl/m,FiberGlass,23,10690,0.038,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 50mm 14070 Rayl/m,FiberGlass,24,14070,0.05,2530,69000000000,0.276,0.2
